mom_50,mom_51,mom_52,mom_53,mom_54,mom_55,mom_56,mom_57,mom_58,mom_59,mom_60,mom_61,mom_62,mom_63,mom_64,mom_65,mom_66,mom_67,mom_68,mom_69,mom_70,mom_71,mom_72,mom_73,mom_74
2.241272192153622,2.335273287995,2.180334251991267,1.935843186646951,1.6645505298964793,1.4778945831136348,1.443918665218316,1.438321661976978,1.7699625415870344,1.5472206954497931,1.6128917113543255,1.276671148396217,1.4758444586527824,1.3668529286284732,1.959593283987017,2.78242267025323,2.7854156767308,3.113237977649132,2.816788106871794,2.8041753594838137,3.2023196602136226,3.7166886830558425,3.332902266944356,3.2969939218357176,2.3532441720399118
1.7827509188601691,1.7803838132523806,1.7792314253134236,1.8879579630894856,2.015019529060518,2.0896398327313745,2.5150193873383087,2.614865496718428,2.7148062550105574,3.1161422773726537,3.4543575638400776,3.4133442654732513,2.896055440468887,2.806135867501768,3.0648713048168963,3.4516176286119675,3.0085156259827524,2.5344553557657035,2.144142302916358,2.0232453846975145,1.9984320915267455,1.9149218504604946,1.6371947650394063,1.3939930609617925,1.1734935704538714
2.8787760901208723,2.866508342338929,2.538262263004597,1.898101670187581,1.5573368168497763,1.4268592386695,1.361481308630267,1.1706373194632307,1.3910590159666851,1.4784368053259074,1.563311440941144,1.9636264470000004,1.8349442772569258,2.171919702028086,2.650783455550511,3.084593352094834,2.994367775263737,2.5902101461600324,2.109049881480847,2.004814488460769,1.8011623083140345,1.7741618681404936,1.6728280630418304,1.740142448717593,1.5388698945747326
2.3292243580217926,2.10758515943498,1.8325733884046098,1.5538874204101356,1.3254768978739697,1.2858744502994615,1.2334738755691386,1.1858592695838732,1.3476795170943714,1.5279008865178538,1.7134724210450558,1.7344389954300485,1.900843336016497,2.006283500856535,2.3549043502739195,2.893325678412603,2.6728032333962655,2.3536070914168663,2.010318651979267,1.909878121774323,1.637987210511702,1.5661837966614722,1.389465670487927,1.2121563972654426,0.9866280551729778
1.526392605836724,1.5908963962926486,1.652250814819665,1.7430542544680423,1.7305035330966954,1.9239065304783447,2.1063527766135053,2.410633132502857,2.8136873640539637,2.919795037151814,3.0840647316061855,3.0791766689149247,3.163066325543117,3.1681522212577526,3.1732043223920106,3.272206071674854,2.612971002025221,1.9601296391668863,2.183919480326927,1.8646132902935906,1.7538637243281316,1.5836937782974378,1.4069005070123635,1.2712427542106324,1.0180772226499188
1.8210883736111851,2.0311789399231333,2.161826129829575,2.0514852562622603,2.0684395976412286,2.1646759384765684,1.8454994165583483,1.8185334169994563,1.9539030075124009,1.906311741393171,2.0281780536627028,2.061719385777606,2.140842301601726,2.527629233185393,3.0011799392975145,3.6200971837661924,3.3262438488149426,3.5345456213365556,3.763682964097951,3.249084157528476,3.326977387691859,2.8698561346971285,2.3375391650617474,2.010144763165506,1.6650161419561107
1.4203738790867164,1.4732740621466862,1.7797060742164994,1.8118713413460703,1.7179329191618093,1.6648664866265592,1.5609154914697263,1.4872124169967609,1.6573337062622058,1.444023942319608,1.6542293402738952,1.5692234036028814,1.9160860021104815,2.111619174964916,2.449598794817955,3.1955804822064877,2.9784025018276457,3.239391890123574,3.2369878656004496,3.1811783642551834,2.9756318778148874,2.4146370940685022,2.1845278225272526,1.8458678782781577,1.7501303451477859
2.2408555013194977,2.242685958171947,2.277170914884565,1.7662243469546555,1.6097875091118925,1.338295265521809,1.3172542111199415,1.3442701387992175,1.4519497346424117,1.4419829116437681,1.6962284488137898,1.6010048388250817,1.498643542157471,1.9577020268367253,2.1327644770506518,2.897464212156854,2.7261949214769015,2.3898781461407306,2.3347880542748136,2.246407161257423,2.090471499628017,2.030601049802459,1.658392316903917,1.5894465201122494,1.3018562996843948
3.904885223269969,3.017766554714975,2.3509238290997305,1.6812212988238442,1.5677135263691313,1.3513975740039579,1.3437972238438105,1.1667011966972067,1.2090008825825589,1.1409970733582062,1.2964399005425928,1.1333074311094342,1.139832780145866,1.317560501825429,1.6769923849122796,2.2298375472928993,2.2458823665153353,2.136132916969438,2.4425569867567054,2.4455538772478995,2.2387300490780375,2.401570153721604,2.199942407384116,2.15398927542985,1.6655590279667256
1.9170592085194424,1.4406894237350911,1.3140011836573073,1.0538205469018491,1.0081627782753877,1.0305457091236667,0.8414657864760376,0.915924338524268,0.8883498575789002,0.9015867756493368,1.2704562446219403,1.3345047706446138,1.0585361981064716,1.317157771727291,1.7556532697044813,1.9230814725908254,1.969078139404668,1.8619215083362923,1.699833079541102,1.4859564465909276,1.8658480184229045,1.9607394902817008,1.9302818821293846,1.8685378964803694,1.50925319476834
